id,question,answers,category,importance,source_page
ch01-p1-q01,財務報告の目的は、投資家の（①）に資するためにディスクロージャー（開示）制度の一環として投資のポジションと（②）を測定して開示することにある。会計情報に求められる最も基本的な特性を、意思決定有用性という。,意思決定||成果,theme01,A,15
ch01-p1-q02,投資のポジションを示す貸借対照表の構成要素には、資産、負債、純資産および株主資本がある。資産とは報告主体が支配している（①）をいい、（①）とは（②）の獲得に貢献する便益の源泉をいう。負債とは報告主体が支配している（①）を引き渡す（③）をいう。純資産とは資産と負債の（④）をいい、このうち株主に帰属する部分を（⑤）という。,経済的資源||キャッシュ||義務||差額||株主資本,theme01,A,15
ch01-p1-q03,投資の成果を示す損益計算書の最終値である（①）は、純資産の変動額のうち当期にリスクから解放された投資の成果である。投資のリスクからの解放とは、投資にあたって期待された（②）が事実として（③）することをいい、投資がリスクから解放された時点で純利益が認識される。,純利益|当期純利益||成果||確定,theme01,A,15
ch01-p3-q01,財務報告の目的は？,投資のポジションと成果の開示,theme01,A,17
ch01-p3-q02,投資のポジションを示す財務諸表は？,貸借対照表,theme01,A,17
ch01-p3-q03,投資の成果を示す財務諸表は？,損益計算書,theme01,A,17
ch01-p3-q04,最も基本的な会計情報の質的特性は？,意思決定有用性,theme01,A,17
ch01-p3-q05,資産とは？,報告主体が支配している経済的資源,theme01,A,17
ch01-p3-q06,経済的資源とは？,キャッシュの獲得に貢献する便益の源泉,theme01,A,17
ch01-p3-q07,負債とは？,報告主体が支配している経済的資源を引き渡す義務,theme01,A,17
ch01-p3-q08,純資産とは？,資産と負債の差額,theme01,A,17
ch01-p3-q09,株主資本とは？,純資産のうち株主に帰属する部分,theme01,A,17
ch01-p3-q10,純利益とは？,純資産の変動額のうちリスクから解放された投資の成果,theme01,A,17
ch01-p3-q11,リスクからの解放とは？,期待された成果が事実として確定すること,theme01,A,17
ch01-p3-q12,純利益はいつ認識されるか？,投資がリスクから解放された時点,theme01,A,17
ch01-p5-q01,会計情報に求められる最も基本的な質的特性を意思決定有用性という。意思決定有用性を直接支える特性に意思決定との関連性と（①）性があり、意思決定有用性の一般的制約となる特性に内的整合性と（②）性がある。なお、一般的な比較の視点には時系列比較と（③）比較がある。,信頼||比較可能||企業間,theme01,B,19
ch01-p5-q02,企業が行う投資は、その事前の期待の相違から（①）と（②）に区別される。（①）は時価の変動を期待した投資であり、金融資産は時価で評価し、評価差額を当期の損益とする。（②）は使用や販売によるキャッシュの獲得を期待した投資であり、事業用資産は通常（③）で評価する。,金融投資||事業投資||取得原価,theme01,B,19
ch01-p5-q03,事業用資産の（①）は、当期の費用と次期以降の費用に（②）される＜費用配分の原則＞。当期に経済価値の（③）があり＜発生主義＞、また、当期の実現収益に（④）する部分が当期の費用として認識される＜費用収益対応の原則＞。,取得原価||配分||費消||対応,theme01,B,19
ch01-p7-q01,比較可能性における比較の視点は？,時系列比較||企業間比較,theme01,B,21
ch01-p7-q02,財務諸表の構成要素のうち他から独立して定義されているものは？,資産||負債,theme01,B,21
ch01-p7-q03,財務諸表の構成要素のうち最も重視されるものは？,純利益,theme01,B,21
ch01-p7-q04,財務諸表の構成要素のうち重視されるものは？,純利益||株主資本,theme01,B,21
ch01-p7-q05,認識と測定とは？,いつ||いくら,theme01,B,21
ch01-p7-q06,金融投資とは？,時価の変動を期待した投資,theme01,B,21
ch01-p7-q07,金融資産の評価は？,時価,theme01,B,21
ch01-p7-q08,事業投資とは？,使用や販売によるキャッシュの獲得を期待した投資,theme01,B,21
ch01-p7-q09,事業用資産の評価は？,取得原価,theme01,B,21
ch01-p7-q10,費用配分とは？,事業用資産の取得原価を費用と資産に配分すること,theme01,B,21
ch01-p7-q11,費用の発生とは？,経済価値の費消,theme01,B,21
ch02-p1-q01,真実性の原則とは、企業の（①）と（②）に関する真実な報告を要求する原則であり、ここでの真実性は（③）を意味する。,財政状態||経営成績||相対的真実性|相対的真実,theme02,A,27
ch02-p1-q02,正規の簿記の原則とは、正確な（①）の作成と誘導法による財務諸表の作成を要請する原則である。正規の簿記の要件には、（②）＜すべての取引を記録すること＞、（③）＜客観的証拠により記録すること＞、（④）＜秩序正しく記録すること＞がある。,会計帳簿||網羅性||検証性||秩序性,theme02,A,27
ch02-p1-q03,資本取引は株主との間での（①）の直接的増減取引をいい、損益取引は資本の運用取引であり、間接的な資本の増減をもたらす。両者の区別は期間損益計算の適正化のために不可欠である。各々の取引から生ずる剰余金を資本剰余金、利益剰余金といい、両者を（②）してはならない。,期首株主資本||混同,theme02,A,27
ch02-p1-q04,財務諸表の明瞭な表示を要求する（①）原則が明瞭性の原則である。明瞭表示のためには、財務諸表を適正に作成し、会計方針等の開示を要する。,報告|表示,theme02,A,27
ch02-p3-q01,真実性の原則における真実は？,相対的真実|相対的真実性,theme02,A,29
ch02-p3-q02,相対的真実とならざるを得ない理由は？,複数の会計処理の存在||見積りの介入,theme02,A,29
ch02-p3-q03,正規の簿記の要件は？,網羅性||検証性||秩序性,theme02,A,29
ch02-p3-q04,正規の簿記の原則が求める財務諸表の作成方法は？,誘導法,theme02,A,29
ch02-p3-q05,資本取引とは？,株主との直接的取引,theme02,A,29
ch02-p3-q06,損益取引とは？,株主資本の利用による間接的増減取引,theme02,A,29
ch02-p3-q07,資本取引と損益取引の区別が必要な理由は？,適正な期間損益計算のため,theme02,A,29
ch02-p3-q08,会計方針とは？,会計処理の原則及び手続|会計処理の原則および手続,theme02,A,29
ch02-p3-q09,会計方針の具体例を1つ示せ。,有価証券の評価基準および評価方法,theme02,A,29
ch02-p3-q10,後発事象とは？,貸借対照表日後に発生した重要な事象,theme02,A,29
ch02-p3-q11,後発事象の開示が必要な理由は？,補足情報として有用なため,theme02,A,29
ch02-p3-q12,財務諸表の修正を要する後発事象の名称は？,修正後発事象,theme02,A,29
ch02-p5-q01,継続性の原則とは、会計処理の（①）の継続適用を要求する原則である。この原則が適用されるのは、一つの会計事実に対して複数の会計処理の（①）が認められる場合であり、問題となるのは、一般に公正妥当と認められた方法間で変更を行う場合である。継続性の原則は、財務諸表の（②）の可能性を確保し、経営者の（③）を排除することを目的とする。なお、継続性の変更が認められるのは、合理的な変更、すなわち（④）がある場合に限られる。,原則及び手続|原則および手続||期間比較||利益操作||正当な理由,theme02,B,31
ch02-p5-q02,保守主義の原則とは、企業の財政に不利な影響を及ぼす可能性がある場合の（①）な会計処理を要求する原則である。,健全,theme02,B,31
ch02-p5-q03,単一性の原則とは、財務諸表の（①）、（②）を要請する原則である。,実質一元||形式多元,theme02,B,31
ch02-p5-q04,重要性の原則とは、重要性の乏しい項目に対する（①）な処理を容認した原則であり、重要性の判断は、（②）と（③）の重要性で行われる。,簡便||科目||金額,theme02,B,31
